RNK,PLAYER,TYPE,ACTION,    C/A,  YDS,   TD,  INT, RUSH,PTS
1,"Greg Zuerlein, LAR K",FA,,19.4/20.5,9.2/11.4,3.7/5.7,32.2/37.6,39.9/42,136.5
2,"Stephen Gostkowski, NE K",FA,,17.6/18.8,8.3/10.4,3.3/5.2,29.3/34.4,47.8/50.6,135.8
3,"Chris Boswell, Pit K",FA,,19/19.7,9.1/10.9,3.6/5.5,31.7/36.1,40.4/41.5,135.6
4,"Matt Bryant, Atl K",FA,,17.7/18.3,8.4/10.2,3.4/5.1,29.5/33.6,40.9/42.2,129.3
5,"Matt Prater, Det K",FA,,18/18.4,8.6/10.2,3.5/5.1,30/33.8,37.8/38.5,127.9
6,"Justin Tucker, Bal K",FA,,18.4/18.6,9/10.4,3.6/5.2,31/34.1,31.8/32.1,124.9
7,"Robbie Gould, SF K",FA,,17.5/18.2,8.3/10.1,3.3/5.1,29.2/33.4,37.1/38.2,124.7
8,"Harrison Butker, KC K",FA,,17.9/19,8.4/10.6,3.4/5.3,29.7/34.9,35.5/37.6,124.6
9,"Jake Elliott, Phi K",FA,,16.8/17.5,8/9.7,3.2/4.9,27.9/32.1,39.6/41.2,123.4
10,"Wil Lutz, NO K",FA,,15.8/16.8,7.5/9.4,3/4.7,26.2/30.8,43.5/46.1,122.2
11,"Graham Gano, Car K",FA,,17.2/18.2,8.1/10.2,3.3/5.1,28.6/33.5,36/37.9,121.9
12,"Daniel Carlson, Min K",FA,,16.3/17.7,7.7/9.8,3.1/4.9,27.1/32.4,37.8/40.7,119.1
13,"Adam Vinatieri, Ind K",FA,,15.8/16.5,7.5/9.2,3/4.6,26.4/30.3,38.1/39.6,117.2
14,"Ryan Succop, Ten K",FA,,16/17,7.6/9.4,3/4.7,26.6/31.1,36.9/38.9,116.6
15,"Mason Crosby, GB K",FA,,15/16.5,7.1/9.2,2.8/4.6,24.9/30.2,41/44.7,115.7
16,"Dustin Hopkins, Wsh K",FA,,16.4/18.2,7.7/10.1,5-Mar,27.1/33.3,33.9/37.5,115.1
17,"Chandler Catanzaro, TB K",FA,,16.4/17.7,7.7/9.9,3.1/4.9,27.2/32.6,32.5/35,114.1
18,"Josh Lambo, Jax K",FA,,15.8/16.8,7.5/9.4,3/4.7,26.3/30.8,34.8/36.7,113.7
19,"Eddy Pineiro, Oak K  Q",FA,,15.7/16.8,7.4/9.3,2.9/4.7,26/30.8,34.7/36.9,112.7
20,"Sebastian Janikowski, Sea K",FA,,15.5/16.9,7.3/9.4,2.9/4.7,25.7/31,34.8/37.8,111.9
21,"Caleb Sturgis, LAC K",FA,,15.1/16.7,7.1/9.3,2.8/4.6,25/30.7,36.2/39.8,111.3
22,"Dan Bailey, Dal K",FA,,14.7/15.8,7/8.8,2.8/4.4,24.5/29,36.5/39,109.9
23,"Aldrick Rosas, NYG K",FA,,15.6/17.6,7.3/9.8,2.9/4.9,25.7/32.3,32.1/36.1,109.4
24,"Zane Gonzalez, Cle K",FA,,15.1/16.8,7.1/9.4,2.8/4.7,25/30.9,34.1/37.8,109.2
25,"Cody Parkey, Chi K",FA,,15.1/16.1,7.1/9,2.8/4.5,25/29.6,33.5/35.7,108.6
26,"Randy Bullock, Cin K",FA,,14.9/16,7.1/8.9,2.8/4.4,24.8/29.3,32.5/34.6,106.9
27,"Brandon McManus, Den K",FA,,15.5/17.3,7.3/9.6,2.9/4.8,25.7/31.8,29.7/33,106.9
28,"Stephen Hauschka, Buf K",FA,,15.6/16.2,7.4/9,3/4.5,25.9/29.8,28.9/29.9,106.7
29,"Ka'imi Fairbairn, Hou K",FA,,14.3/15.7,6.7/8.8,2.7/4.4,23.8/28.9,34.6/37.8,105.9
30,"Phil Dawson, Ari K",FA,,14.7/16,6.9/8.9,2.8/4.4,24.4/29.3,31.2/33.7,104.5
31,"Jason Sanders, Mia K",FA,,14.5/16,6.8/8.9,2.7/4.4,23.9/29.3,30.1/33.2,101.9
32,"Jason Myers, NYJ K",FA,,14.2/15.7,6.7/8.7,2.6/4.4,23.6/28.8,27.6/30.3,98.3
